order_item_id,order_id,product_id,quantity,total_sales
18751,ORD0001,1,3,180.0
18752,ORD0001,11,3,180.0
18753,ORD0001,21,3,180.0
18754,ORD0001,31,3,180.0
18755,ORD0001,41,3,180.0
18756,ORD0001,51,3,180.0
18757,ORD0001,61,3,180.0
18758,ORD0001,71,3,180.0
18759,ORD0001,81,3,180.0
18760,ORD0001,91,3,180.0
18761,ORD0001,101,3,180.0
18762,ORD0001,111,3,180.0
18763,ORD0001,121,3,180.0
18764,ORD0001,131,3,180.0
18765,ORD0001,141,3,180.0
18766,ORD0001,151,3,180.0
18767,ORD0002,2,4,400.0
18768,ORD0002,12,4,400.0
18769,ORD0002,22,4,400.0
18770,ORD0002,32,4,400.0
18771,ORD0002,42,4,400.0
18772,ORD0002,52,4,400.0
18773,ORD0002,62,4,400.0
18774,ORD0002,72,4,400.0
18775,ORD0002,82,4,400.0
18776,ORD0002,92,4,400.0
18777,ORD0002,102,4,400.0
18778,ORD0002,112,4,400.0
18779,ORD0002,122,4,400.0
18780,ORD0002,132,4,400.0
18781,ORD0002,142,4,400.0
18782,ORD0002,152,4,400.0
18783,ORD0003,1,2,120.0
18784,ORD0003,11,2,120.0
18785,ORD0003,21,2,120.0
18786,ORD0003,31,2,120.0
18787,ORD0003,41,2,120.0
18788,ORD0003,51,2,120.0
18789,ORD0003,61,2,120.0
18790,ORD0003,71,2,120.0
18791,ORD0003,81,2,120.0
18792,ORD0003,91,2,120.0
18793,ORD0003,101,2,120.0
18794,ORD0003,111,2,120.0
18795,ORD0003,121,2,120.0
18796,ORD0003,131,2,120.0
18797,ORD0003,141,2,120.0
18798,ORD0003,151,2,120.0
18799,ORD0004,1,3,180.0
18800,ORD0004,11,3,180.0
18801,ORD0004,21,3,180.0
18802,ORD0004,31,3,180.0
18803,ORD0004,41,3,180.0
18804,ORD0004,51,3,180.0
18805,ORD0004,61,3,180.0
18806,ORD0004,71,3,180.0
18807,ORD0004,81,3,180.0
18808,ORD0004,91,3,180.0
18809,ORD0004,101,3,180.0
18810,ORD0004,111,3,180.0
18811,ORD0004,121,3,180.0
18812,ORD0004,131,3,180.0
18813,ORD0004,141,3,180.0
18814,ORD0004,151,3,180.0
18815,ORD0005,3,3,450.0
18816,ORD0005,13,3,450.0
18817,ORD0005,23,3,450.0
18818,ORD0005,33,3,450.0
18819,ORD0005,43,3,450.0
18820,ORD0005,53,3,450.0
18821,ORD0005,63,3,450.0
18822,ORD0005,73,3,450.0
18823,ORD0005,83,3,450.0
18824,ORD0005,93,3,450.0
18825,ORD0005,103,3,450.0
18826,ORD0005,113,3,450.0
18827,ORD0005,123,3,450.0
18828,ORD0005,133,3,450.0
18829,ORD0005,143,3,450.0
18830,ORD0005,153,3,450.0
18831,ORD0006,4,1,20.0
18832,ORD0006,14,1,20.0
18833,ORD0006,24,1,20.0
18834,ORD0006,34,1,20.0
18835,ORD0006,44,1,20.0
18836,ORD0006,54,1,20.0
18837,ORD0006,64,1,20.0
18838,ORD0006,74,1,20.0
18839,ORD0006,84,1,20.0
18840,ORD0006,94,1,20.0
18841,ORD0006,104,1,20.0
18842,ORD0006,114,1,20.0
18843,ORD0006,124,1,20.0
18844,ORD0006,134,1,20.0
18845,ORD0006,144,1,20.0
18846,ORD0006,154,1,20.0
18847,ORD0007,3,4,600.0
18848,ORD0007,13,4,600.0
18849,ORD0007,23,4,600.0
18850,ORD0007,33,4,600.0
18851,ORD0007,43,4,600.0
18852,ORD0007,53,4,600.0
18853,ORD0007,63,4,600.0
18854,ORD0007,73,4,600.0
18855,ORD0007,83,4,600.0
18856,ORD0007,93,4,600.0
18857,ORD0007,103,4,600.0
18858,ORD0007,113,4,600.0
18859,ORD0007,123,4,600.0
18860,ORD0007,133,4,600.0
18861,ORD0007,143,4,600.0
18862,ORD0007,153,4,600.0
18863,ORD0008,5,1,500.0
18864,ORD0008,15,1,500.0
18865,ORD0008,25,1,500.0
18866,ORD0008,35,1,500.0
18867,ORD0008,45,1,500.0
18868,ORD0008,55,1,500.0
18869,ORD0008,65,1,500.0
18870,ORD0008,75,1,500.0
18871,ORD0008,85,1,500.0
18872,ORD0008,95,1,500.0
18873,ORD0008,105,1,500.0
18874,ORD0008,115,1,500.0
18875,ORD0008,125,1,500.0
18876,ORD0008,135,1,500.0
