product_id,product_name,category,price
1,"Running Shoes",Footwear,60.0
2,Headphones,Electronics,100.0
3,Smartwatch,Electronics,150.0
4,T-Shirt,Clothing,20.0
5,Smartphone,Electronics,500.0
6,Book,Books,15.0
7,Jeans,Clothing,40.0
8,Laptop,Electronics,800.0
9,"Washing Machine","Home Appliances",600.0
10,Refrigerator,"Home Appliances",1200.0
11,"Running Shoes",Footwear,60.0
12,Headphones,Electronics,100.0
13,Smartwatch,Electronics,150.0
14,T-Shirt,Clothing,20.0
15,Smartphone,Electronics,500.0
16,Book,Books,15.0
17,Jeans,Clothing,40.0
18,Laptop,Electronics,800.0
19,"Washing Machine","Home Appliances",600.0
20,Refrigerator,"Home Appliances",1200.0
21,"Running Shoes",Footwear,60.0
22,Headphones,Electronics,100.0
23,Smartwatch,Electronics,150.0
24,T-Shirt,Clothing,20.0
25,Smartphone,Electronics,500.0
26,Book,Books,15.0
27,Jeans,Clothing,40.0
28,Laptop,Electronics,800.0
29,"Washing Machine","Home Appliances",600.0
30,Refrigerator,"Home Appliances",1200.0
31,"Running Shoes",Footwear,60.0
32,Headphones,Electronics,100.0
33,Smartwatch,Electronics,150.0
34,T-Shirt,Clothing,20.0
35,Smartphone,Electronics,500.0
36,Book,Books,15.0
37,Jeans,Clothing,40.0
38,Laptop,Electronics,800.0
39,"Washing Machine","Home Appliances",600.0
40,Refrigerator,"Home Appliances",1200.0
41,"Running Shoes",Footwear,60.0
42,Headphones,Electronics,100.0
43,Smartwatch,Electronics,150.0
44,T-Shirt,Clothing,20.0
45,Smartphone,Electronics,500.0
46,Book,Books,15.0
47,Jeans,Clothing,40.0
48,Laptop,Electronics,800.0
49,"Washing Machine","Home Appliances",600.0
50,Refrigerator,"Home Appliances",1200.0
51,"Running Shoes",Footwear,60.0
52,Headphones,Electronics,100.0
53,Smartwatch,Electronics,150.0
54,T-Shirt,Clothing,20.0
55,Smartphone,Electronics,500.0
56,Book,Books,15.0
57,Jeans,Clothing,40.0
58,Laptop,Electronics,800.0
59,"Washing Machine","Home Appliances",600.0
60,Refrigerator,"Home Appliances",1200.0
61,"Running Shoes",Footwear,60.0
62,Headphones,Electronics,100.0
63,Smartwatch,Electronics,150.0
64,T-Shirt,Clothing,20.0
65,Smartphone,Electronics,500.0
66,Book,Books,15.0
67,Jeans,Clothing,40.0
68,Laptop,Electronics,800.0
69,"Washing Machine","Home Appliances",600.0
70,Refrigerator,"Home Appliances",1200.0
71,"Running Shoes",Footwear,60.0
72,Headphones,Electronics,100.0
73,Smartwatch,Electronics,150.0
74,T-Shirt,Clothing,20.0
75,Smartphone,Electronics,500.0
76,Book,Books,15.0
77,Jeans,Clothing,40.0
78,Laptop,Electronics,800.0
79,"Washing Machine","Home Appliances",600.0
80,Refrigerator,"Home Appliances",1200.0
81,"Running Shoes",Footwear,60.0
82,Headphones,Electronics,100.0
83,Smartwatch,Electronics,150.0
84,T-Shirt,Clothing,20.0
85,Smartphone,Electronics,500.0
86,Book,Books,15.0
87,Jeans,Clothing,40.0
88,Laptop,Electronics,800.0
89,"Washing Machine","Home Appliances",600.0
90,Refrigerator,"Home Appliances",1200.0
91,"Running Shoes",Footwear,60.0
92,Headphones,Electronics,100.0
93,Smartwatch,Electronics,150.0
94,T-Shirt,Clothing,20.0
95,Smartphone,Electronics,500.0
96,Book,Books,15.0
97,Jeans,Clothing,40.0
98,Laptop,Electronics,800.0
99,"Washing Machine","Home Appliances",600.0
100,Refrigerator,"Home Appliances",1200.0
101,"Running Shoes",Footwear,60.0
102,Headphones,Electronics,100.0
103,Smartwatch,Electronics,150.0
104,T-Shirt,Clothing,20.0
105,Smartphone,Electronics,500.0
106,Book,Books,15.0
107,Jeans,Clothing,40.0
108,Laptop,Electronics,800.0
109,"Washing Machine","Home Appliances",600.0
110,Refrigerator,"Home Appliances",1200.0
111,"Running Shoes",Footwear,60.0
112,Headphones,Electronics,100.0
113,Smartwatch,Electronics,150.0
114,T-Shirt,Clothing,20.0
115,Smartphone,Electronics,500.0
116,Book,Books,15.0
117,Jeans,Clothing,40.0
118,Laptop,Electronics,800.0
119,"Washing Machine","Home Appliances",600.0
120,Refrigerator,"Home Appliances",1200.0
121,"Running Shoes",Footwear,60.0
122,Headphones,Electronics,100.0
123,Smartwatch,Electronics,150.0
124,T-Shirt,Clothing,20.0
125,Smartphone,Electronics,500.0
126,Book,Books,15.0
127,Jeans,Clothing,40.0
128,Laptop,Electronics,800.0
129,"Washing Machine","Home Appliances",600.0
130,Refrigerator,"Home Appliances",1200.0
131,"Running Shoes",Footwear,60.0
132,Headphones,Electronics,100.0
133,Smartwatch,Electronics,150.0
134,T-Shirt,Clothing,20.0
135,Smartphone,Electronics,500.0
136,Book,Books,15.0
137,Jeans,Clothing,40.0
138,Laptop,Electronics,800.0
139,"Washing Machine","Home Appliances",600.0
140,Refrigerator,"Home Appliances",1200.0
141,"Running Shoes",Footwear,60.0
142,Headphones,Electronics,100.0
143,Smartwatch,Electronics,150.0
144,T-Shirt,Clothing,20.0
145,Smartphone,Electronics,500.0
146,Book,Books,15.0
147,Jeans,Clothing,40.0
148,Laptop,Electronics,800.0
149,"Washing Machine","Home Appliances",600.0
150,Refrigerator,"Home Appliances",1200.0
151,"Running Shoes",Footwear,60.0
152,Headphones,Electronics,100.0
153,Smartwatch,Electronics,150.0
154,T-Shirt,Clothing,20.0
155,Smartphone,Electronics,500.0
156,Book,Books,15.0
157,Jeans,Clothing,40.0
158,Laptop,Electronics,800.0
159,"Washing Machine","Home Appliances",600.0
160,Refrigerator,"Home Appliances",1200.0
